,Catalog,stackoverflow
,Schema,config
,Volume,master
,Table,country_region
,,
No.,Country,Region
1,Afghanistan,South Asia
2,Albania,Eastern Europe
3,Algeria,Africa
4,Andorra,Western Europe
5,Angola,Africa
6,Antigua and Barbuda,Latin America
7,Argentina,Latin America
8,Armenia,Eastern Europe
9,Australia,Oceania
10,Austria,Western Europe
11,Azerbaijan,Eastern Europe
12,Bahamas,Latin America
13,Bahrain,Middle East
14,Bangladesh,South Asia
15,Barbados,Latin America
16,Belarus,Eastern Europe
17,Belgium,Western Europe
18,Belize,Latin America
19,Benin,Africa
20,Bhutan,South Asia
21,Bolivia,Latin America
22,Bosnia and Herzegovina,Eastern Europe
23,Botswana,Africa
24,Brazil,Latin America
25,Brunei Darussalam,Southeast Asia
26,Bulgaria,Eastern Europe
27,Burkina Faso,Africa
28,Burundi,Africa
29,CÃ´te d'Ivoire,Africa
30,Cambodia,Southeast Asia
31,Cameroon,Africa
32,Canada,North America
33,Cape Verde,Africa
34,Central African Republic,Africa
35,Chad,Africa
36,Chile,Latin America
37,China,East Asia
38,Colombia,Latin America
39,"Congo, Republic of the...",Africa
40,Costa Rica,Latin America
41,Côte d'Ivoire,Africa
42,Croatia,Eastern Europe
43,Cuba,Latin America
44,Cyprus,Middle East
45,Czech Republic,Eastern Europe
46,Democratic People's Republic of Korea,East Asia
47,Democratic Republic of the Congo,Africa
48,Denmark,Western Europe
49,Djibouti,Africa
50,Dominica,Latin America
51,Dominican Republic,Latin America
52,Ecuador,Latin America
53,Egypt,Middle East
54,El Salvador,Latin America
55,Equatorial Guinea,Africa
56,Estonia,Eastern Europe
57,Ethiopia,Africa
58,Fiji,Oceania
59,Finland,Western Europe
60,France,Western Europe
61,Gabon,Africa
62,Gambia,Africa
63,Georgia,Eastern Europe
64,Germany,Western Europe
65,Ghana,Africa
66,Greece,Western Europe
67,Grenada,Latin America
68,Guatemala,Latin America
69,Guinea,Africa
70,Guinea-Bissau,Africa
71,Guyana,Latin America
72,Haiti,Latin America
73,Honduras,Latin America
74,Hong Kong (S.A.R.),East Asia
75,Hungary,Eastern Europe
76,Iceland,Western Europe
77,India,South Asia
78,Indonesia,Southeast Asia
79,"Iran, Islamic Republic of...",Middle East
80,Iraq,Middle East
81,Ireland,Western Europe
82,Isle of Man,Western Europe
83,Israel,Middle East
84,Italy,Western Europe
85,Jamaica,Latin America
86,Japan,East Asia
87,Jordan,Middle East
88,Kazakhstan,South Asia
89,Kenya,Africa
90,Kosovo,Eastern Europe
91,Kuwait,Middle East
92,Kyrgyzstan,South Asia
93,Lao People's Democratic Republic,Southeast Asia
94,Latvia,Eastern Europe
95,Lebanon,Middle East
96,Lesotho,Africa
97,Liberia,Africa
98,Libyan Arab Jamahiriya,Africa
99,Liechtenstein,Western Europe
100,Lithuania,Eastern Europe
101,Luxembourg,Western Europe
102,Madagascar,Africa
103,Malawi,Africa
104,Malaysia,Southeast Asia
105,Maldives,South Asia
106,Mali,Africa
107,Malta,Western Europe
108,Marshall Islands,Oceania
109,Mauritania,Africa
110,Mauritius,Africa
111,Mexico,North America
112,"Micronesia, Federated States of...",Oceania
113,Moldova,Eastern Europe
114,Monaco,Western Europe
115,Mongolia,East Asia
116,Montenegro,Eastern Europe
117,Morocco,Africa
118,Mozambique,Africa
119,Myanmar,Southeast Asia
120,NA,Unknown
121,Namibia,Africa
122,Nauru,Oceania
123,Nepal,South Asia
124,Netherlands,Western Europe
125,New Zealand,Oceania
126,Nicaragua,Latin America
