,Catalog,stackoverflow,,,,
,Schema,bronze,,,,
,Table,result_2022,,,,
,,,,,,
No.,Column Name,Data Type,Not Null,Unique Key,Composite Unique Key,Include
1,ResponseId,string,Y,-,-,Y
2,MainBranch,string,-,-,-,Y
3,Employment,string,-,-,-,Y
4,RemoteWork,string,-,-,-,Y
5,CodingActivities,string,-,-,-,-
6,EdLevel,string,-,-,-,Y
7,LearnCode,string,-,-,-,Y
8,LearnCodeOnline,string,-,-,-,-
9,LearnCodeCoursesCert,string,-,-,-,-
10,YearsCode,string,-,-,-,Y
11,YearsCodePro,string,-,-,-,-
12,DevType,string,-,-,-,Y
13,OrgSize,string,-,-,-,Y
14,PurchaseInfluence,string,-,-,-,Y
15,BuyNewTool,string,-,-,-,-
16,Country,string,-,-,-,Y
17,Currency,string,-,-,-,Y
18,CompTotal,string,-,-,-,Y
19,CompFreq,string,-,-,-,-
20,LanguageHaveWorkedWith,string,-,-,-,Y
21,LanguageWantToWorkWith,string,-,-,-,Y
22,DatabaseHaveWorkedWith,string,-,-,-,Y
23,DatabaseWantToWorkWith,string,-,-,-,Y
24,PlatformHaveWorkedWith,string,-,-,-,Y
25,PlatformWantToWorkWith,string,-,-,-,Y
26,WebframeHaveWorkedWith,string,-,-,-,Y
27,WebframeWantToWorkWith,string,-,-,-,Y
28,MiscTechHaveWorkedWith,string,-,-,-,Y
29,MiscTechWantToWorkWith,string,-,-,-,Y
30,ToolsTechHaveWorkedWith,string,-,-,-,Y
31,ToolsTechWantToWorkWith,string,-,-,-,Y
32,NEWCollabToolsHaveWorkedWith,string,-,-,-,Y
33,NEWCollabToolsWantToWorkWith,string,-,-,-,Y
34,OpSysProfessional use,string,-,-,-,Y
35,OpSysPersonal use,string,-,-,-,Y
36,VersionControlSystem,string,-,-,-,-
37,VCInteraction,string,-,-,-,-
38,VCHostingPersonal use,string,-,-,-,-
39,VCHostingProfessional use,string,-,-,-,-
40,OfficeStackAsyncHaveWorkedWith,string,-,-,-,Y
41,OfficeStackAsyncWantToWorkWith,string,-,-,-,Y
42,OfficeStackSyncHaveWorkedWith,string,-,-,-,Y
43,OfficeStackSyncWantToWorkWith,string,-,-,-,Y
44,Blockchain,string,-,-,-,-
45,NEWSOSites,string,-,-,-,-
46,SOVisitFreq,string,-,-,-,-
47,SOAccount,string,-,-,-,-
48,SOPartFreq,string,-,-,-,-
49,SOComm,string,-,-,-,-
50,Age,string,-,-,-,Y
51,Gender,string,-,-,-,-
52,Trans,string,-,-,-,-
53,Sexuality,string,-,-,-,-
54,Ethnicity,string,-,-,-,-
55,Accessibility,string,-,-,-,-
56,MentalHealth,string,-,-,-,-
57,TBranch,string,-,-,-,-
58,ICorPM,string,-,-,-,Y
59,WorkExp,string,-,-,-,Y
60,Knowledge_1,string,-,-,-,-
61,Knowledge_2,string,-,-,-,-
62,Knowledge_3,string,-,-,-,-
63,Knowledge_4,string,-,-,-,-
64,Knowledge_5,string,-,-,-,-
65,Knowledge_6,string,-,-,-,-
66,Knowledge_7,string,-,-,-,-
67,Frequency_1,string,-,-,-,-
68,Frequency_2,string,-,-,-,-
69,Frequency_3,string,-,-,-,-
70,TimeSearching,string,-,-,-,-
71,TimeAnswering,string,-,-,-,-
72,Onboarding,string,-,-,-,-
73,ProfessionalTech,string,-,-,-,-
74,TrueFalse_1,string,-,-,-,-
75,TrueFalse_2,string,-,-,-,-
76,TrueFalse_3,string,-,-,-,-
77,SurveyLength,string,-,-,-,-
78,SurveyEase,string,-,-,-,-
79,ConvertedCompYearly,string,-,-,-,Y
